SubjectID	SubjectAge	SessionTime	TaskName	BlockCount	TrialCount_InTask	TrialCount_InBlock	AbortCode	HeldTooLong	HeldTooShort	MovedTooFar	SliderBarValue	SliderBarFilled	PreStim_Dur	Stim_Dur	Resp_Dur	VisualStim_Loc	AudioStim_Loc	VisualStim_Index	AudioStim_Index	FixCrossStimIndex	ResponseChar	RT	RT_Warning	LoadTrialTextures_StartFrame	LoadTrialTextures_EndFrame	LoadTrialTextures_StartTimeAbsolute	LoadTrialTextures_StartTimeRelative	LoadTrialTextures_EndTimeAbsolute	LoadTrialTextures_EndTimeRelative	LoadTrialTextures_Duration	LoadTrialStims_StartFrame	LoadTrialStims_EndFrame	LoadTrialStims_StartTimeAbsolute	LoadTrialStims_StartTimeRelative	LoadTrialStims_EndTimeAbsolute	LoadTrialStims_EndTimeRelative	LoadTrialStims_Duration	SetupTrial_StartFrame	SetupTrial_EndFrame	SetupTrial_StartTimeAbsolute	SetupTrial_StartTimeRelative	SetupTrial_EndTimeAbsolute	SetupTrial_EndTimeRelative	SetupTrial_Duration	FinishTrial_StartFrame	FinishTrial_EndFrame	FinishTrial_StartTimeAbsolute	FinishTrial_StartTimeRelative	FinishTrial_EndTimeAbsolute	FinishTrial_EndTimeRelative	FinishTrial_Duration	Delay_StartFrame	Delay_EndFrame	Delay_StartTimeAbsolute	Delay_StartTimeRelative	Delay_EndTimeAbsolute	Delay_EndTimeRelative	Delay_Duration	GazeCalibration_StartFrame	GazeCalibration_EndFrame	GazeCalibration_StartTimeAbsolute	GazeCalibration_StartTimeRelative	GazeCalibration_EndTimeAbsolute	GazeCalibration_EndTimeRelative	GazeCalibration_Duration	PreStim_StartFrame	PreStim_EndFrame	PreStim_StartTimeAbsolute	PreStim_StartTimeRelative	PreStim_EndTimeAbsolute	PreStim_EndTimeRelative	PreStim_Duration	StimPresentation_StartFrame	StimPresentation_EndFrame	StimPresentation_StartTimeAbsolute	StimPresentation_StartTimeRelative	StimPresentation_EndTimeAbsolute	StimPresentation_EndTimeRelative	StimPresentation_Duration	Response_StartFrame	Response_EndFrame	Response_StartTimeAbsolute	Response_StartTimeRelative	Response_EndTimeAbsolute	Response_EndTimeRelative	Response_Duration	Feedback_StartFrame	Feedback_EndFrame	Feedback_StartTimeAbsolute	Feedback_StartTimeRelative	Feedback_EndTimeAbsolute	Feedback_EndTimeRelative	Feedback_Duration	TimeWarning_StartFrame	TimeWarning_EndFrame	TimeWarning_StartTimeAbsolute	TimeWarning_StartTimeRelative	TimeWarning_EndTimeAbsolute	TimeWarning_EndTimeRelative	TimeWarning_Duration
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	7	207	27	0	0	0	0	null	False	1.376263	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	null	3	6	a	0.3962402	0	99658	99658	1003.84	1.36499	1003.85	1.375	0.01000977	99659	99660	1003.85	1.375	1003.865	1.390015	0.01501465	99661	99661	1003.865	1.390015	1003.875	0.01000977	0.01000977	99876	99876	1005.665	1.799988	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99662	99826	1003.875	0.01000977	1005.26	1.394958	1.384949	99827	99874	1005.26	1.394958	1005.66	1.794983	0.4000244	97096	97125	982.365	2.075012	982.615	2.325012	0.25	99875	99875	1005.66	1.794983	1005.665	1.799988	0.005004883	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	7	208	28	0	0	0	0	null	False	1.746391	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	null	5	6	a	0.4246826	0	99877	99877	1005.675	1.809998	1005.685	1.820007	0.01000977	99878	99879	1005.685	1.820007	1005.71	1.844971	0.02496338	99880	99880	1005.71	1.844971	1005.715	0.005004883	0.005004883	100143	100143	1007.9	2.190002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99881	100090	1005.715	0.005004883	1007.465	1.755005	1.75	100091	100141	1007.465	1.755005	1007.89	2.179993	0.4249878	97096	97125	982.365	2.075012	982.615	2.325012	0.25	100142	100142	1007.89	2.179993	1007.9	2.190002	0.01000977	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	7	209	29	0	0	0	0	null	False	1.379912	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	1	5	6	a	0.281311	0	100144	100144	1007.91	2.200012	1007.915	2.205017	0.005004883	100145	100147	1007.915	2.205017	1007.95	2.23999	0.03497314	100148	100148	1007.95	2.23999	1007.96	0.01000977	0.01000977	100349	100349	1009.64	1.690002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100149	100315	1007.96	0.01000977	1009.35	1.400024	1.390015	100316	100347	1009.35	1.400024	1009.635	1.684998	0.2849731	97096	97125	982.365	2.075012	982.615	2.325012	0.25	100348	100348	1009.635	1.684998	1009.64	1.690002	0.005004883	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	7	210	30	0	0	0	0	null	False	1.072627	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	2	3	6	a	0.3063354	0	100350	100350	1009.65	1.700012	1009.66	1.710022	0.01000977	100351	100353	1009.66	1.710022	1009.69	1.740051	0.0300293	100354	100354	1009.69	1.740051	1009.7	0.00994873	0.00994873	100522	100522	1011.09	1.399963	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100355	100483	1009.7	0.00994873	1010.775	1.084961	1.075012	100484	100520	1010.775	1.084961	1011.085	1.394958	0.3099976	97096	97125	982.365	2.075012	982.615	2.325012	0.25	100521	100521	1011.085	1.394958	1011.09	1.399963	0.005004883	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	211	1	0	0	0	0	null	False	1.084436	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	null	4	6	a	null	0	101152	101152	1016.36	6.669983	1016.365	6.674988	0.005004883	101153	101154	1016.365	6.674988	1016.41	6.719971	0.04498291	101155	101155	1016.41	6.719971	1016.415	0.005004883	0.005004883	101220	101220	1016.95	0.539978	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101156	101218	1016.415	0.005004883	1016.94	0.5300293	0.5250244	100484	100520	1010.775	1.084961	1011.085	1.394958	0.3099976	97096	97125	982.365	2.075012	982.615	2.325012	0.25	101219	101219	1016.94	0.5300293	1016.95	0.539978	0.00994873	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	212	2	0	0	0	0	null	False	1.170982	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	0	5	6	a	0.2731323	0	101221	101221	1016.96	0.5499878	1016.965	0.5549927	0.005004883	101222	101224	1016.965	0.5549927	1016.99	0.5800171	0.02502441	101225	101225	1016.99	0.5800171	1017	0.01000977	0.01000977	101401	101401	1018.46	1.469971	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101226	101366	1017	0.01000977	1018.175	1.184998	1.174988	101367	101399	1018.175	1.184998	1018.45	1.459961	0.2749634	97096	97125	982.365	2.075012	982.615	2.325012	0.25	101400	101400	1018.45	1.459961	1018.46	1.469971	0.01000977	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	213	3	0	0	0	0	null	False	1.704098	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	null	3	6	a	null	0	101402	101402	1018.465	1.474976	1018.475	1.484985	0.01000977	101403	101404	1018.475	1.484985	1018.5	1.51001	0.02502441	101405	101405	1018.5	1.51001	1018.51	0.00994873	0.00994873	101564	101564	1019.825	1.324951	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101406	101562	1018.51	0.00994873	1019.815	1.315002	1.305054	101367	101399	1018.175	1.184998	1018.45	1.459961	0.2749634	97096	97125	982.365	2.075012	982.615	2.325012	0.25	101563	101563	1019.815	1.315002	1019.825	1.324951	0.00994873	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	214	4	0	0	0	0	null	False	1.129235	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	2	4	6	a	0.2131958	0	101565	101565	1019.835	1.334961	1019.84	1.339966	0.005004883	101566	101568	1019.84	1.339966	1019.865	1.36499	0.02502441	101569	101569	1019.865	1.36499	1019.875	0.01000977	0.01000977	101733	101733	1021.235	1.369995	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101570	101705	1019.875	0.01000977	1021.01	1.144958	1.134949	101706	101731	1021.01	1.144958	1021.225	1.359985	0.2150269	97096	97125	982.365	2.075012	982.615	2.325012	0.25	101732	101732	1021.225	1.359985	1021.235	1.369995	0.01000977	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	215	5	0	0	0	0	null	False	1.799552	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	2	5	6	a	0.3582764	0	101734	101734	1021.24	1.375	1021.25	1.38501	0.01000977	101735	101737	1021.25	1.38501	1021.275	1.409973	0.02496338	101738	101738	1021.275	1.409973	1021.285	0.01000977	0.01000977	102000	102000	1023.46	2.184998	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101739	101955	1021.285	0.01000977	1023.09	1.815002	1.804993	101956	101998	1023.09	1.815002	1023.45	2.174988	0.3599854	97096	97125	982.365	2.075012	982.615	2.325012	0.25	101999	101999	1023.45	2.174988	1023.46	2.184998	0.01000977	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	216	6	0	0	0	0	null	False	1.837447	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	null	3	6	a	0.3734131	0	102001	102001	1023.465	2.190002	1023.475	2.200012	0.01000977	102002	102003	1023.475	2.200012	1023.5	2.225037	0.02502441	102004	102004	1023.5	2.225037	1023.51	0.00994873	0.00994873	102272	102272	1025.735	2.234985	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102005	102225	1023.51	0.00994873	1025.35	1.849976	1.840027	102226	102270	1025.35	1.849976	1025.725	2.224976	0.375	97096	97125	982.365	2.075012	982.615	2.325012	0.25	102271	102271	1025.725	2.224976	1025.735	2.234985	0.01000977	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	217	7	0	0	0	0	null	False	1.302353	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	null	5	6	a	0.4383545	0	102273	102273	1025.745	2.244995	1025.75	2.25	0.005004883	102274	102275	1025.75	2.25	1025.77	2.27002	0.02001953	102276	102276	1025.77	2.27002	1025.775	0.005004883	0.005004883	102488	102488	1027.535	1.765015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102277	102433	1025.775	0.005004883	1027.085	1.314941	1.309937	102434	102486	1027.085	1.314941	1027.525	1.755005	0.4400635	97096	97125	982.365	2.075012	982.615	2.325012	0.25	102487	102487	1027.525	1.755005	1027.535	1.765015	0.01000977	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	218	8	0	0	0	0	null	False	1.92745	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	0	4	6	a	0.2949219	0	102489	102489	1027.54	1.769897	1027.55	1.779907	0.01000977	102490	102492	1027.55	1.779907	1027.575	1.804932	0.02502441	102493	102493	1027.575	1.804932	1027.585	0.01000977	0.01000977	102760	102760	1029.825	2.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102494	102724	1027.585	0.01000977	1029.52	1.945068	1.935059	102725	102758	1029.52	1.945068	1029.82	2.244995	0.2999268	97096	97125	982.365	2.075012	982.615	2.325012	0.25	102759	102759	1029.82	2.244995	1029.825	2.25	0.005004883	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	219	9	0	0	0	0	null	False	1.038366	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	null	3	6	a	0.4451904	0	102761	102761	1029.835	2.26001	1029.845	2.27002	0.01000977	102762	102763	1029.845	2.27002	1029.86	2.285034	0.01501465	102764	102764	1029.86	2.285034	1029.87	0.01000977	0.01000977	102945	102945	1031.375	1.515015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102765	102889	1029.87	0.01000977	1030.92	1.059937	1.049927	102890	102943	1030.92	1.059937	1031.37	1.51001	0.4500732	97096	97125	982.365	2.075012	982.615	2.325012	0.25	102944	102944	1031.37	1.51001	1031.375	1.515015	0.005004883	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	220	10	0	0	0	0	null	False	1.327173	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	1	3	6	a	0.2867432	0	102946	102946	1031.385	1.525024	1031.395	1.535034	0.01000977	102947	102949	1031.395	1.535034	1031.425	1.564941	0.02990723	102950	102950	1031.425	1.564941	1031.435	0.01000977	0.01000977	103147	103147	1033.07	1.64502	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102951	103110	1031.435	0.01000977	1032.77	1.345093	1.335083	103111	103145	1032.77	1.345093	1033.06	1.63501	0.289917	97096	97125	982.365	2.075012	982.615	2.325012	0.25	103146	103146	1033.06	1.63501	1033.07	1.64502	0.01000977	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	221	11	0	0	0	0	null	False	1.521095	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	0	3	6	a	0.2067871	0	103148	103148	1033.075	1.650024	1033.085	1.660034	0.01000977	103149	103151	1033.085	1.660034	1033.11	1.685059	0.02502441	103152	103152	1033.11	1.685059	1033.12	0.01000977	0.01000977	103363	103363	1034.87	1.76001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	103153	103336	1033.12	0.01000977	1034.65	1.540039	1.530029	103337	103361	1034.65	1.540039	1034.86	1.75	0.2099609	97096	97125	982.365	2.075012	982.615	2.325012	0.25	103362	103362	1034.86	1.75	1034.87	1.76001	0.01000977	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	222	12	0	0	0	0	null	False	1.025574	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	1	null	6	a	0.3701172	0	103364	103364	1034.875	1.765015	1034.885	1.775024	0.01000977	103365	103366	1034.885	1.775024	1034.9	1.790039	0.01501465	103367	103367	1034.9	1.790039	1034.91	0.01000977	0.01000977	103537	103537	1036.325	1.424927	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	103368	103491	1034.91	0.01000977	1035.945	1.044922	1.034912	103492	103535	1035.945	1.044922	1036.32	1.419922	0.375	97096	97125	982.365	2.075012	982.615	2.325012	0.25	103536	103536	1036.32	1.419922	1036.325	1.424927	0.005004883	-1	-1	-1	-1	-1	-1	-1
0001	13	Session_08_01_24__11_06_08_0001	AV_Detection	8	223	13	0	0	0	0	null	False	1.899329	0.5	3	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	null	5	6	a	0.3735352	0	103538	103538	1036.335	1.434937	1036.345	1.444946	0.01000977	103539	103540	1036.345	1.444946	1036.36	1.459961	0.01501465	103541	103541	1036.36	1.459961	1036.37	0.01000977	0.01000977	103817	103817	1038.66	2.300049	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	103542	103770	1036.37	0.01000977	1038.275	1.915039	1.905029	103771	103815	1038.275	1.915039	1038.65	2.290039	0.375	97096	97125	982.365	2.075012	982.615	2.325012	0.25	103816	103816	1038.65	2.290039	1038.66	2.300049	0.01000977	-1	-1	-1	-1	-1	-1	-1
